,Unnamed: 0,Student ID,Date of Birth,Registration Date,Faculty,Program,Education Level,Semester,Course code,Course name,Credits,Num Grade,Letter Grade
0,0,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,CS302,ALGORITHMS AND DATA STRUCTURES,3|6,6.0,C
1,1,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,CS303,DIGITAL DESIGN,3|6,6.0,C
2,2,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,CS305,PROGRAMMING LANGUAGES,3|6,6.0,C
3,3,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,CS307,OPERATING SYSTEMS,3|6,6.0,C
4,4,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,CS310,HUMAN COMPUTER INTERACTION,3|6,6.0,C
5,5,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),6.Semester: 2018 Fall,ECON111,INTRO. TO MICROECONOMICS,3|6,7.0,C+
6,6,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,CS308,SOFTWARE ENGINEERING,3|6,,
7,7,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,CS499,SPECIAL TOPICS IN COMPUTER SCIENCE II,3|6,,
8,8,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,ENS490,GRADUATION PROJECT(SENIOR STANDING),3|6,,
9,9,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,MATH202,DIFFERENTIAL EQUATIONS,3|6,,
10,10,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,MATH205,NUMERICAL ANALYSIS,3|6,,
11,11,150302011,1996-04-17,2015-09-21,Faculty of Engineering and Natural Sciences,Computer Sciences and Engineering (Bachelor),I Cycle (Bachelor),9.Semester: 2020 Spring,SE407,SOFTWARE QUALITY MANAGEMENT,3|6,,
